deal_title,investor_company,investor_role,investment_amount_usd
Helpful (Healthcare Services) — Seed Round (2023-07),Redesign Health,PARTICIPANT,
Ageless Innovation — Later Stage VC (2023-07),AgeTech Collaborative,PARTICIPANT,
AmberGen — Grant (2023-06),"Bruker, MassVentures, U.S. Department of Health and Human Services, United States Department of War",PARTICIPANT,
breathing.ai — Later Stage VC (2023-06),"Expert DOJO, Gaingels, Jumpstart Foundry, Plug and Play Tech Center, Right Side Capital Management, Roux Institute at Northeastern University, Techstars, Unicorn Factory Lisboa, VentureOut (US)",PARTICIPANT,
Health Data Analytics Institute — Later Stage VC (2023-06),"Altered Capital, Harald McPike, The Invus Group",PARTICIPANT,
Author Health — Early Stage VC (2023-06),"Flare Capital Partners, General Atlantic",PARTICIPANT,
Cytosolix — Later Stage VC (2023-06),"Accelerator for Biosciences in Connecticut, Alix Ventures, Backed VC, BlueYard Capital, Connecticut Innovations, Creative Destruction Lab, Endless Frontier Labs, Yale University",PARTICIPANT,
Avo (Enterprise Systems (Healthcare)) — Later Stage VC (2023-06),"500 Global, 500 Startups LatAm, AlleyCorp, Columbia University Graduate School of Business, Columbia Venture Competition, Dunamu & Partners, Entrepreneurship Lab Bio & Health Tech NYC, Epsilon Health, FuturePlay, Kavita Patel, Las Olas Venture Capital, Mana Ventures, MedMountain Ventures, Mirae Asset Capital, Mount Sinai Innovation Partners, PennHealthX, Spring Camp, Startup Creasphere, StartUp Health, World Trade Ventures",PARTICIPANT,
WellSole — Seed Round (2023-06),"Jumpstart Foundry, Right Side Capital Management, University of Massachusetts Amherst Endowment",PARTICIPANT,
Medivis — Later Stage VC (2023-06),"Alumni Ventures, Arkitekt Ventures, Coalition Operators, Flight Ventures, Future Labs, Howard Riina, Hugo Barra, Initialized Capital, Kevin Durant, Koru Capital (New York), Mayo Clinic Ventures, Nordurver, NYU Summer Launchpad, Robert Iger, Robert Spetzler, Thirty Five Ventures, Thrive Capital, Vectr Ventures, Verizon Ventures",PARTICIPANT,
Hospital for Special Surgery Endowment — Grant (2023-06),"Arthritis Foundation, Flare Capital Partners, Stavros Niarchos Foundation, United States Department of War",PARTICIPANT,
Conduit Health — Seed Round (2023-06),"Eniac Ventures, Equitage Ventures, Twelve Below",PARTICIPANT,
Dr. B Public Benefit — Early Stage VC (2023-06),"Bloodhound Partners, Feld Ventures, Founders Fund, Humbition, LeFrak, Lerer Hippeau, Life Extension Ventures, MainSheet Ventures, Pareto Holdings, Phin Upham, Techni Ventures",PARTICIPANT,
UrgentIQ — Seed Round (2023-06),"Fractal Software, Sidekick Partners",PARTICIPANT,
ZiphyCare — Early Stage VC (2023-06),"Eugene Fooksman, LabQ founder, Network VC, One Planet Group, The Garage Syndicate, Verras Capital, WBL Fellows Program",PARTICIPANT,
Advanced Dental Brands — PE Growth/Expansion (2023-05),H.I.G. Capital,PARTICIPANT,
Batelle — Early Stage VC (2023-05),"Christian Angermayer, Edward Lando, Gaingels, Growth Box Ventures, Jeffrey Cruttenden, Jon Oringer, Material Ventures, Metaplanet Holdings, Nadav Ben, Pareto Holdings, re.Mind Capital, Taavet Hinrikus, Wheelhouse Digital Studios",PARTICIPANT,
OphyCare — Grant (2023-05),"CareOne (Elder and Disabled Care), Tech Alpharetta, Westchester County Biosciences Accelerator",PARTICIPANT,
The Dermatology Specialists — PE Growth/Expansion (2023-05),"GarMark Partners, Regal Healthcare Capital Partners",PARTICIPANT,
Uwill — Early Stage VC (2023-04),"Darryl McDaniels, Education Growth Partners, John Katzman, Stephen Kramer",PARTICIPANT,
1upHealth — Later Stage VC (2023-04),"Advisors.Fund, Boston Children's Hospital, Eniac Ventures, F-Prime Capital, Innovation & Digital Health Accelerator, Jackson Square Ventures, MassChallenge, Meridian Street Capital, Office of the National Coordinator for Health Information Technology, Scala Ventures, Sixth Street Partners, Social Leverage",PARTICIPANT,
Leda Health — Early Stage VC (2023-03),"2B.VC, ACME Capital, Alchemist Accelerator, Asymmetry Ventures, Blue Leaf Ventures, Calm/Storm Ventures, Fast Forward (California), Future Labs, G9 Ventures, Gaingels, Hornet Ventures, Houston Angel Network, Hypothesis Studio, Michelle Kennedy, Minal Hasan, Nashville Entrepreneur Center, New York Ventures, Ruca, Shaan Puri, Sterling Road, Stone Mountain Ventures (Texas), The Helm",PARTICIPANT,
Empassion — Early Stage VC (2023-03),"8VC, BAYADA Home Health Care, Oxeon Partners, Town Hall Ventures",PARTICIPANT,
InterWell Health — Later Stage VC (2023-03),"Fresenius Medical Care, G Ventures (VC), Oak HC/FT, Valtruis",PARTICIPANT,
TytoCare — Later Stage VC (2023-03),"Cambia Health Solutions, Clal Energy, Echo Health Ventures, Fosun Venture Capital Investment, Fuson Pharma, Healthcare of Ontario Pension Plan, Insight Partners (New York), Itochu, LionBird, MemorialCare Innovation Fund, MTIP, New Dimensions Health, OrbiMed, OTV, OurCrowd, Ping An Insurance (Group) Company of China, Ping An Voyager Partners, Qualcomm Ventures, Qumra Capital, Qure Ventures, Sanford Health, Shenzhen Capital Group, Teuza, Tiger Global Management, Walgreens Boots Alliance, Well Ventures",PARTICIPANT,
Bio Behavioral Institute — PE Growth/Expansion (2023-03),"Aspect Investors, Endurance Search Partners, Glass Lake Capital, Milk Street Ventures, Miramar Equity Partners, The Cambria Group, WSC & Company",PARTICIPANT,
Icon Health — Early Stage VC (2023-03),Montage Ventures,PARTICIPANT,
Epikast — Early Stage VC (2023-02),EcoR1 Capital,PARTICIPANT,
CardioFocus — Later Stage VC (2023-02),"Biobrit, BioMed Realty, First Alliance & Capital Invest, H.I.G. HealthBridge Partners, KBL Healthcare Ventures, Manatuck Hill Partners, Revelation Partners, Saints Capital, Schroders, SightLine Partners, SV Health Investors, The Aurora Funds, Western Technology Investment",PARTICIPANT,
ETAO International (PINX: ETAOF) — Reverse Merger (2023-02),Mountain Crest Acquisition III,PARTICIPANT,
Curie.Bio — Early Stage VC (2023-02),"5AM Ventures, AlleyCorp, Andreessen Horowitz, ARCH Venture Partners, Bessemer Venture Partners, BoxGroup, Casdin Capital, DNA Capital (Investor), F-Prime Capital, GV, KdT Ventures, Leaps by Bayer, Lightstone Ventures, Menlo Ventures, NFX, Northpond Ventures, Qiming Venture Partners, Shine Capital, Wormhole Capital",PARTICIPANT,
Mantra Health — Later Stage VC (2023-02),"14W, Alumni Ventures, Baleon Capital, Broad Creek Capital, Canaan Partners, City Light Capital, Elements Health Investors, Global Founders Capital, HOF Capital, New Markets Venture Partners, Nitin Nanda, VMG Partners, Western Technology Investment",PARTICIPANT,
Alloplex Biotherapeutics — Later Stage VC (2023-02),"Daewoong Pharmaceutical Company, Hanall Biopharma, Keiretsu Forum, Wells Investment",PARTICIPANT,
Wyndly — Early Stage VC (2023-02),"Cashmere Fund, Civilization Ventures, Goodwater Capital, Immeasurable, Kevin Mahaffey, Side Door Ventures, Underdog Labs, Y Combinator",PARTICIPANT,
FirstHand Health — Early Stage VC (2023-02),"GreyMatter (US), GV, Innate Capital Partners, Upsher Management Company, Watershed Collective",PARTICIPANT,
NY Ketamine Infusions — PE Growth/Expansion (2023-02),Council Capital,PARTICIPANT,
Stokes Counseling Services — Buyout/LBO (2023-02),"Eads Bridge Holdings, Parkway Capital",PARTICIPANT,
iVexSol — Later Stage VC (2023-01),"Asahi Kasei Corporate Venture Capital, Asahi Kasei Medical, Biolife Solutions, Bristol-Myers Squibb, Casdin Capital, Charles River Laboratories International, Massachusetts Biomedical Initiatives, Massachusetts Life Sciences Center",PARTICIPANT,
Pearl Health — Early Stage VC (2023-01),"10X Capital, AlleyCorp, Andreessen Horowitz, CoFound Partners, Floating Point, Gaingels, Kevin Ryan, SV Angel, Viking Global Investors",PARTICIPANT,
DocPanel — Later Stage VC (2023-01),CQuence Health Group,PARTICIPANT,
HearMe (Application Software) — Later Stage VC (2023-01),"Arsenal Capital Management, Ascent Capital, Chasing Rainbows, Flare Capital Partners, Gaingels, GHS Ventures, Plug and Play Tech Center",PARTICIPANT,
FreedomCare — PE Growth/Expansion (2023-01),Fidelity,PARTICIPANT,
Sky Therapeutics — Early Stage VC (2023-01),"E-UM Private Equity, IDrug, Jtango VC, Wamda Capital",PARTICIPANT,
BetterAge — Grant (2023-01),"Impact Assets, National Institute of Aging (NIA)",PARTICIPANT,
Cadence (Monitoring Equipment) — Early Stage VC (2023-01),"Adam Boehler, Coatue Management, Free Solo Ventures, General Catalyst, K5 Global, Martin Ventures, Metrodora Ventures, Roar Ventures, Thrive Capital",PARTICIPANT,
Circle Surrogacy and Egg Donation — Debt - Acquisition (2023-01),Cortec Group,PARTICIPANT,
Harley Street Medical — PE Growth/Expansion (2023-01),"Hunter Search Capital, Search Fund Partners",PARTICIPANT,
Measured Health — Early Stage VC (2023-01),"Initialized Capital, Michael Seibel, Open Opportunity Fund, Scott Galloway, Y Combinator",PARTICIPANT,
Pascall — Grant (2023-01),U.S. Department of Health and Human Services,PARTICIPANT,
Tandem (Healthcare Services) — Early Stage VC (2023-01),"Atria Ventures, Bain Capital Ventures, BoxGroup, Pear (California), Thrive Capital, Tournon Ventures, Vast Ventures, Zeal Talent Ventures",PARTICIPANT,
Connecticut Children's Medical Center — Grant (2022-12),"U.S. Department of Education, U.S. Department of Health and Human Services, U.S. Environmental Protection Agency, United States Department of War",PARTICIPANT,
Innerwell — Debt - General (2022-12),"Gershon Capital, Greenpoint Capital, Greycroft, Looking Glass Capital, Mana Ventures, Max Ventures, Riverside Ventures, Western Technology Investment",PARTICIPANT,
Telemynd — PE Growth/Expansion (2022-12),"Pleasant Bay Capital Partners, SB Investment Holdco",PARTICIPANT,
Cornerstone Treatment Facilities Network — Merger/Acquisition (2022-12),Oxer Capital,PARTICIPANT,
LEAF4Life — Early Stage VC (2022-12),"Gaingels, Infinitas Capital, Purpose Venture Capital",PARTICIPANT,
Universal Marine Medical Supply International — Buyout/LBO (2022-12),ZCG,PARTICIPANT,
Buoy Health — Later Stage VC (2022-12),"Beyond the Bounds Ventures, Cigna Ventures, Eight Roads, F-Prime Capital, Hambrecht Ducera Growth Ventures, Humana, Innovation & Digital Health Accelerator, Jack Connors, Keiretsu Forum, MassChallenge, MBX Capital, Optum Ventures, Sharon Knight, TiE SoCal Angels, Trustbridge Partners, W.R. Hambrecht + Co.",PARTICIPANT,
1AND1 — Later Stage VC (2022-11),Sequence Equity,PARTICIPANT,
The Lanby — Seed Round (2022-11),"2468 Ventures, Female Founders Fund, Goodwater Capital, LAUNCH Fund, Magic Fund, Myelin VC",PARTICIPANT,
DirectShifts — Later Stage VC (2022-11),"Alex Fair, AltaIR Capital, Anita Pramoda, Brian Holzer, Emles Venture Partners, Gaurav Mehta, Jacob Reider, Jim Sweeney, Mark Holmquist, MedStartr Venture Fund, Mehshah Capital, Neel Murthy, Peak State Ventures, Pioneer Fund, Scot Ward, Serent Capital, Soma Capital, UpHonest Capital, Venture Development Center (Massachusetts), VentureOut (US), Y Combinator, Ying Fund",PARTICIPANT,
Grouport — Early Stage VC (2022-11),"380 Cap, Goodwater Capital, Purpose Venture Capital, Stone Mountain Ventures (Texas), Taub Ventures, XV Venture Capital",PARTICIPANT,
Constant Therapy Health — Grant (2022-11),"Hearst Communications, Mass Innovation Network",PARTICIPANT,
Injured Workers Pharmacy — Secondary Transaction - Private (2022-11),"ACON Investments, Triton Pacific Capital Partners",PARTICIPANT,
RecoveryPlus.health — Later Stage VC (2022-11),"Blue Ocean Capital Group, Chongqing Pharscin Pharma, DYEE Capital, IDG Capital, Nanjing Fengzheng Yingtai",PARTICIPANT,
Akelos — Seed Round (2022-10),"National Institutes of Health, National Institutes of Neurological Disorders and Stroke",PARTICIPANT,
Accelera — Later Stage VC (2022-10),"Maine Technology Institute, Maine Venture Fund, The Wyss Foundation",PARTICIPANT,
Hippo (Healthcare Technology Systems) — Seed Round (2022-10),Ochsner Health,PARTICIPANT,
Helio Health (Clinics/Outpatient Services) — Grant (2022-10),"Federal Communications Commission, Federal Deposit Insurance, SAMHSA",PARTICIPANT,
Samaritan Daytop Village — Grant (2022-10),New York Community Trust,PARTICIPANT,
QualityMetric — Grant (2022-09),"Bratenahl Capital Partners, Optum",PARTICIPANT,
Ark Behavioral Health — PE Growth/Expansion (2022-09),"Healy Capital Partners, Hunter Street Partners",PARTICIPANT,
Joyuus — Grant (2022-09),U.S. Department of Health and Human Services,PARTICIPANT,
Affinity Dental Management — Debt Refinancing (2022-09),MidOcean Partners,PARTICIPANT,
Hopscotch (Healthcare Services) — Seed Round (2022-09),"Cold Start, eLab (New York), Entrepreneurs Roundtable Accelerator, Greycroft, Harvard Innovation Launch Lab, Inspired Capital (New York), New York Ventures, Remarkable Ventures, Watershed Collective",PARTICIPANT,
EpiVax — Grant (2022-09),"Avecia Biologics (Biodefense Vaccine), Breakthrough T1D, GBS|CIDP Foundation International, Impact Assets, Montel Williams Foundation, National Institute for Allergy and Infectious Disease, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Slater Technology Fund, U.S. Food and Drug Administration",PARTICIPANT,
Resolve (Managed Care) — Later Stage VC (2022-09),"AlleyCorp, Endurance Companies, Gaingels, Indicator Ventures",PARTICIPANT,
Braver (Clinics/Outpatient Services) — Early Stage VC (2022-09),Maveron,PARTICIPANT,
COR Health — Secondary Transaction - Private (2022-09),Station Partners,PARTICIPANT,
Pager — Later Stage VC (2022-09),"Abundance Partners, Adam Goulburn, Carl Byers, Envision Healthcare, Fine Day Ventures, French Partners, Goodwater Capital, Grupo de Inversiones Suramericana, GuideWell, Haas Portman, Health Catalyst Capital Management, Horizon Blue Cross Blue Shield of New Jersey, Horizon Healthcare, Lux Capital, Michael Liou, Montage Ventures, New Enterprise Associates, Oxeon Partners, Peter McTeague, QueensBridge Venture Partners, Rani Aliahmad, Schechter Private Capital, Sound Ventures, Streamlined Ventures, Susquehanna Private Equity Investments, Three Fields Capital, Thyra Global Management, Todd Kimmel, Ullas Naik, Veronorte",PARTICIPANT,
Alma (Clinics/Outpatient Services) — Later Stage VC (2022-08),"Able Partners, BoxGroup, Cigna Ventures, First Round Capital, Hedosophia, Insight Partners (New York), Jordan Park Group, Kapor Capital, Nyca Partners, Oak HC/FT, Optum Ventures, Primary Venture Partners, Rainfall Ventures, Sound Ventures, Thoma Bravo, Tusk Venture Partners, UBS Group, Urban Innovation Fund",PARTICIPANT,
Regenacy Pharmaceuticals — Later Stage VC (2022-08),"3E Bioventures (China), Cobro Ventures, Rivas Capital, TA YA VENTURE HOLDINGS LIMITED, Taiwania Capital, Viva Biotech, Yonjin Venture",PARTICIPANT,
Adult & Pediatric Dermatology — Debt Refinancing (2022-08),Waud Capital Partners,PARTICIPANT,
Mamava — Seed Round (2022-08),"FreshTracks Capital, Solidarity of Unbridled Labour",PARTICIPANT,
PrescriberPoint — Seed Round (2022-08),"Adobe (Multimedia and Design Software), Adobe Ventures, Eli Lilly, MasterCard, Pfizer Ventures",PARTICIPANT,
Atria Health — PE Growth/Expansion (2022-08),Cypress Ridge Capital,PARTICIPANT,
Craniometrix — Seed Round (2022-08),"Cathexis Ventures, Defy Partners Management, J Ventures, Olive Tree Capital, Quiet Capital, Rebel Fund, SOCIETY FOR SCIENCE & THE PUBLIC, Y Combinator",PARTICIPANT,
New England Wellness Solutions — PE Growth/Expansion (2022-08),Shields Health Innovations,PARTICIPANT,
Boram — Early Stage VC (2022-08),"AJU IB Investment, Dunamu & Partners, Entrepreneur Ventures (Los Angeles), Interplay Ventures, LEAD (Venture Capital), Midnight Venture Partners, Strong Ventures",PARTICIPANT,
Groq Health — Early Stage VC (2022-08),Westway Capital,PARTICIPANT,
HeyJane — Early Stage VC (2022-08),"10X Capital, 37 Angels, Alumni Ventures, Amboy Street Ventures, Blue Trail Partners, Capital F, Dorm Room Fund, Feldsmith Capital, Flybridge (New York), Foursight Capital Partners, Freya Ventures, G9 Ventures, Gaingels, Jane Capital, Jesse Robbins, Joyance Partners, Juno Equity, Karman Ventures, Koa Labs, MPG Fund, Portfolia, Samothrace Partners, The Graduate Syndicate, The Helm, Ulu Ventures, Voyagers.io",PARTICIPANT,
Medcase — Later Stage VC (2022-08),"CityZone (Israel), Firstime, Ingress Ventures, Sarona Ventures, Sopris Venture Capital, Techstars, YADAY",PARTICIPANT,
We The Village — Grant (2022-07),"Human Ventures, National Institute on Drug Abuse (NIDA), National Institutes of Health",PARTICIPANT,
Casma Therapeutics — Later Stage VC (2022-07),"Amgen Ventures, Astellas Venture Management, Eisai, Euclidean Capital, Eventide Asset Management, Michael J. Fox Foundation, Mirae Asset Capital, Mirae Asset Venture Investment, Ono Venture Investment, Schroders Capital, Sobrato Family Foundation, The Column Group, Third Rock Ventures",PARTICIPANT,
Skyhawk Therapeutics — Later Stage VC (2022-07),"Agent Capital, Alexandria Venture Investments, Bramalea Partners, Celgene, DFE Capital Management, DNS Capital, Emerson Collective, Fidelity Management & Research Company, Good Growth Capital, GreatPoint Ventures, Rock Springs Capital, Sanofi Ventures, ShangBay Capital, the Duke of Bedford, Tim Disney",PARTICIPANT,
Care New England Health System — Buyout/LBO (2022-07),U.S. Department of Health and Human Services,PARTICIPANT,
Thrive Global — Debt - General (2022-06),"Adam Miller, Adrian Aoun, Advancit Capital, Andre Iguodala, Anuradha Duggal, Aurum Partners, Blue Pool Capital, Canvas Prime, Eric Roza, Female Founders Fund, Fredric Harman, Global Founders Capital, Goldman Sachs Asset Management, Greycroft, Gunnar Lovelace, Heather Reisman, Isabella Huffington, IVP, JAZZ Venture Partners, Joanna Coles, Kevin Durant, Kleiner Perkins, Lerer Hippeau, M13, Marc Benioff, Meir Teper, Michael Huffington, Mohamed El-Erian, Mosaic General Partnership, New York Venture Partners, Nick Green, Nicolas Berggruen, Oak Investment Partners, Owl Ventures, Palm Ventures, Phillip Fernandez, Rabil Ventures, Raymond Dalio, Repeat Ventures, Rich Kleiman, San Francisco 49ers, Sean Parker, Shishir Mehrotra, Third Point, Thirty Five Ventures, Tim Junio, Times Bridge, WndrCo, Yash Sandesara, Zoë Baird",PARTICIPANT,
Care Thread — Later Stage VC (2022-06),"Betaspring, MassChallenge, Slater Technology Fund",PARTICIPANT,
Cybrexa Therapeutics — Later Stage VC (2022-06),"Advantage Capital, Connecticut Innovations, Cycle Venture Partners, Elm Street Ventures, HighCape Capital, National Cancer Institute",PARTICIPANT,
Cartessa Aesthetics — PE Growth/Expansion (2022-06),"Copley Equity Partners, Crestline Investors, PennantPark",PARTICIPANT,
WonderMind — Early Stage VC (2022-05),"305 Ventures, Brenton Saunders, Bustle Digital Group, Eric Ryan, Fred Turner, JAWS Estates Capital, Lightspeed Venture Partners, Natalie Carnegie, Sequoia Capital, Serena Ventures",PARTICIPANT,
Topix Pharmaceuticals — Leveraged Recapitalization (2022-05),New Mountain Capital,PARTICIPANT,
Tomorrow Health — Later Stage VC (2022-05),"Acrew Capital, Andreessen Horowitz, BOND Capital (San Francisco), BoxGroup, CLF Partners, Montauk Ventures, Obvious Ventures, Rainfall Ventures, Sound Ventures",PARTICIPANT,
Boober — Seed Round (2022-05),"Antler, Impact Assets, Jonathan Kalin",PARTICIPANT,
Pro-Change — Grant (2022-05),U.S. Department of Health and Human Services,PARTICIPANT,
Melissa Wood Health — Early Stage VC (2022-05),Winklevoss Capital Management,PARTICIPANT,
Actipulse Neuroscience — Later Stage VC (2022-05),"Advise Connect Inspire, Empire Group International, FoundersX Ventures, Gold Track, iPEPS-ICM, MassChallenge, Start-Up Chile, Trav Walkowski, Y Combinator",PARTICIPANT,
Altopax — Later Stage VC (2022-05),Seae Ventures,PARTICIPANT,
Relay Response — Later Stage VC (2022-05),"Angel Capital Association, National Heart, Lung, and Blood Institute, NYU Summer Launchpad, Xochi Ventures",PARTICIPANT,
Riparian Pharmaceuticals — Grant (2022-05),"Harvard Innovation Launch Lab, JMCR Family Office, Johnson and Johnson JJDC, Johnson&Johnson Innovative Medicine, Massachusetts Life Sciences Center, Pagliuca Harvard Life Lab, U.S. Department of Health and Human Services, Viva Biotech",PARTICIPANT,
Organix (Other Healthcare Services) — Buyout/LBO (2022-04),Small Business Innovation Research and Small Business Technology Transfer Programs,PARTICIPANT,
LifeVoxel — Seed Round (2022-04),Plug and Play Tech Center,PARTICIPANT,
Kelonia — Early Stage VC (2022-04),"Alta Partners, Coronado Venture Fund, Horizons Ventures, Venrock",PARTICIPANT,
Victory Genomics — Seed Round (2022-04),Connecticut Innovations,PARTICIPANT,
Creda — Later Stage VC (2022-04),Innospark Ventures,PARTICIPANT,
Sirona Medical Technologies — Later Stage VC (2022-03),Connecticut Innovations,PARTICIPANT,
Voicely — Early Stage VC (2022-03),Stalker Fund,PARTICIPANT,
Portal Instruments — Later Stage VC (2022-03),"3M, 5AM Ventures, Gerresheimer, PBJ Capital, Sanofi Ventures, Takeda Ventures",PARTICIPANT,
Modern Age — Debt - General (2022-03),"GV, Juxtapose, Oak HC/FT, R2 Ventures",PARTICIPANT,
Helixbind — Grant (2022-03),"Ariel Savannah Angel Partners, CARB-X, Eunice Kennedy Shriver National Institute of Child Health and Human Development, Massachusetts Biomedical Initiatives, National Institute for Allergy and Infectious Disease, National Institutes of Health, NIH Office of the Director, U. S. National Science Foundation, U.S. Department of Health and Human Services",PARTICIPANT,
HealthQuarters — Early Stage VC (2022-03),"Oxeon Partners, Redesign Health, Reshape Ventures",PARTICIPANT,
Translura — Early Stage VC (2022-02),Connecticut Innovations,PARTICIPANT,
Allievex — Later Stage VC (2022-02),"Asahi Kasei Corporate Venture Capital, Asahi Kasei Pharma Venture Capital, LG Technology Ventures, LifeSci Venture Partners, Novo Holdings, Pappas Capital",PARTICIPANT,
Cognoptix — Secondary Transaction - Private (2022-02),"Adam Broun, AEON Foundry, Alopexx, Andrew Stern, Aubrey Capital, Beacon Angels, Beacon Venture Partners, Boston Harbor Angels, Gail Greenwald, HBS Alumni Angels of Greater New York, Jean Hammond, Lance Scott, Launchpad Venture Group, Maine Angels, New Harbor Venture Partners, New York Angels, On Grid Ventures, Opus8, Quan Funds, Ron Quake, Thomas Lichoulas, Vinodka Murria",PARTICIPANT,
eternalHealth — Early Stage VC (2022-01),John Sculley,PARTICIPANT,
Recora Health — Early Stage VC (2022-01),"2048 Ventures, Global Founders Capital, Great Oaks Venture Capital, MGV, Pear (California), SignalFire, Trajectory Capital, Valor Equity Partners, Virtue (Austin)",PARTICIPANT,
BonaDent Dental Laboratories — Seed Round (2022-01),MPE Partners,PARTICIPANT,
Expansion Technologies — Grant (2022-01),"Arben Ventures, Biological Engineering Ventures, Massachusetts Institute of Technology, U.S. Department of Health and Human Services",PARTICIPANT,
Hemera Biosciences — Secondary Transaction - Private (2022-01),Tufts University,PARTICIPANT,
mPOD — Grant (2022-01),"Johnson & Johnson Innovation - JLABS, U. S. National Science Foundation, U.S. Department of Health and Human Services",PARTICIPANT,
Bestself Behavioral Health — Grant (2021-12),"The United States Department of Justice, U.S. Department of Health and Human Services, U.S. Department of Housing and Urban Development Office of Counsel",PARTICIPANT,
Blood Centers of America — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Brooklyn Plaza Medical Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Cares Of Ny — Grant (2021-12),"U.S. Department of Housing and Urban Development Office of Counsel, United States Department of Agriculture",PARTICIPANT,
Cayuga Centers — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Codman Square Health Center — Grant (2021-12),"U.S. Department of Health and Human Services, United States Department of Agriculture",PARTICIPANT,
Community Health and Wellness Center of Greater Torrington — Grant (2021-12),"U.S. Department of Health and Human Services, United States Department of Agriculture",PARTICIPANT,
Community Health Center of Franklin County — Grant (2021-12),"U.S. Department of Health and Human Services, United States Department of Agriculture",PARTICIPANT,
Community Health Centers Of Burlington — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Community Health Initiatives — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Cornell Scott-Hill Health Corporation — Grant (2021-12),"U.S. Department of Health and Human Services, United States Department of Agriculture",PARTICIPANT,
Damian Family Care Centers — Grant (2021-12),"U.S. Department of Health and Human Services, United States Department of Agriculture",PARTICIPANT,
Eastport Health Care — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Fair Haven Community Health Clinic — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Gifford Health Care — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Greater New Bedford Community Health Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Harvard Street Neighborhood Health Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Healthcare Choices Ny — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Hilltown Community Health Centers — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Himalayan Cataract Project — Grant (2021-12),U.S. Agency for International Development,PARTICIPANT,
Lowell Community Health Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Maine Mobile Health Program — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Manet Community Health Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Massachusetts Eye and Ear — Grant (2021-12),"Microsoft, U.S. Agency for International Development, United States Department of War",PARTICIPANT,
Mattapan Community Health Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Mid-State Health Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
North Shore Community Health — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Open Door Family Medical Center — Grant (2021-12),"U.S. Department of Health and Human Services, United States Department of Agriculture",PARTICIPANT,
Partners In Health — Grant (2021-12),"Development Innovation Ventures, Flu lab, Gates Foundation, Global Strategy Investment Management, John D. and Catherine T. MacArthur Foundation, U.S. Department of Health and Human Services, U.S. Department of State",PARTICIPANT,
Richmond University Medical Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
St. Barnabas Hospital — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
St. Lawrence Health System — Grant (2021-12),"Patient-Centered Outcomes Research Institute, U.S. Department of Health and Human Services",PARTICIPANT,
Westchester Medical Center — Grant (2021-12),"U.S. Department of Health and Human Services, United States Department of Agriculture",PARTICIPANT,
"Whitney M. Young, Jr., Health Center — Grant (2021-12)",U.S. Department of Health and Human Services,PARTICIPANT,
Wood River Health Services — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
David Scharf Laser Periodontal Therapy — Merger/Acquisition (2021-12),"Dental Care Alliance, Dental Care Associates",PARTICIPANT,
Walk-in Dermatology — Early Stage VC (2021-12),Sopris Venture Capital,PARTICIPANT,
The Jackson Laboratory — Grant (2021-12),"Anthony Evnin, Barbara Roux, David Roux, Ellison Medical Foundation, George B. Dorr, Grant Sims, Judith, Maine Technology Institute, National Cancer Institute, National Center for Research Resources, National Institutes of Health, National Institutes of Neurological Disorders and Stroke, Patricia Sims, South Korean Government, The Mark Foundation for Cancer Research, The National Human Genome Research Institute, U.S. Department of Energy, United States Department of War, Weslie Janeway",PARTICIPANT,
ConcertoCare — Later Stage VC (2021-12),"Ashlar Capital, Atento Capital, Deerfield Management, Obvious Ventures, Pennington Partners & Co, Schusterman Family Investments, Stardust Equity, SteelSky Ventures, Vast Ventures, Wells Fargo Strategic Capital",PARTICIPANT,
Uno Health — Early Stage VC (2021-12),"Cowboy Ventures, Floating Point, Floodgate, General Catalyst, GV, Meridian Street Capital, Nat Turner, Zachary Weinberg",PARTICIPANT,
Bionique Testing Laboratories — Merger/Acquisition (2021-12),North Country Regional Economic Development Council,PARTICIPANT,
